Sent,Nc-type,Nc-token,sentPrev,sentNC,sentPost,Source
4,camisa branco,camisa branca,"Os contraentes acostumaban facerse un traxe novo para a ocasión, que logo serviría noutros acontecementos formais.","O que eu recordo é que as noivas ían vestidas de negro, con mantela da mesma cor, e os homes con traxe tamén negro ou escuro, camisa branca e gravata ao gusto.","A gravata negra só se usaba polo home en caso de loito, xunto ao brazalete negro na chaqueta.",gl_cc-100
5,camisa branco,camisa branca,"Tamén engaiolaron ao público José Antonio García ""Tucho Cachapanda"" e Suso Porto co seu alambique, dándolles de probar a caña que facían nese intre.","Foron centos de persoas as que se sumaron a este Feirón Mariñeiro de 1913, vestidos con roupa da época, principalmente eles con camisa branca e pantalón azul, mentres que elas facíano con saias desa mesma cor.","A implicación dos veciños notouse tamén na decoración das xanelas e balcóns, algo que se subliñou desde a comisión de festas da Guadalupe, que levou o peso da organización desta feira.",gl_cc-100
6,camisa branco,camisa branca,"Antigamente o pantalón era o que se usaba no servizo na Mariña, e cando non o podían conseguir, puñan un pantalón escuro.","As mulleres levan camisa branca, enagua, saia, mandil e mantón.","A roupa das mulleres adoitaba ser de boa calidade e o mantón, de manila, se non se tiña na casa o home encargábase de atopalo ou alugalo en Betanzos.",wiki
7,camisa branco,camisa branca,A lenda certifica o presente e prefigura o resultado final que dá por suposto.,"O traxe gris escuro, a camisa branca, e a nota distintiva da corbata vermella a xogo coa color da impresa socialista.","Esa combinación final vermello, negro (co matiz do gris moi escuro do terno) e branco é dunha elegancia moi notable.",gl_cc-100
8,camisa branco,camisa branca,"Os peliqueiros, que reciben o seu nome da pelica de animal que teñen pendurada na parte traseira das súas decoradas máscaras, son moi similares ós cigarróns de Verín, e somentes os máis puristas son capaces de diferencialos.","Os peliqueiros visten camisa branca, garabata e chaquetiña curta da que penduran flocos dourados e galóns que van atados con lazos de tres cores, faixa con cinto de pel do que penden media ducia de chocas, calzón branco arrodeado de pompóns que se completa cas medias de encaixe e ligas de cores.",Sobre dos ombreiros levan un pano e calzan zapatos negros.,gl_cc-100
9,camisa branco,camisa branca,Na parte posterior da cabeza leva o pelello que dá nome ao peliqueiro.,Os cigarróns levan camisa branca con gravata vermella (na actualidade de cores variadas) e por riba unha chaquetiña curta de seda con galóns e alamares dourados.,"Cubrindo os ombreiros, xarreteiras de militar con dourados flocos e pano de cores sobre eles, prendido con broches femininos.",gl_cc-100
10,camisa branco,camisa branca,El acababa de descubrir un novo experimento e quería probalo con Uxío.,"Levaba un traxe negro, unha camisa branca e unha garavata vermella.",Nacera Sledan.,gl_cc-100
11,camisa branco,camisa branca,"En 2009, o conxunto local foi vermello, o visitante foi azul escuro e o conxunto internacional branco.","Na tempada de 2010-11, o Bayern tivo un camisola para os seus partidos como local a franxas verticais vermellas e brancas, camisa branca con pantalóns de azul escuro de visitante, e un azul moi escuro para os partidos da Liga de Campións.",Nos anos 1980 e 1990 o Bayern usou un conxunto especial de visitante para xogar contra o 1.,wiki
12,camisa branco,camisa branca,"Os traxes son de cores, texturas e formas variadas pero a continuación explicaremos un deles.",Tamén levan unha camisa branca de lenzo sen pescozo e con botóns ata a metade do peito; poden levar puntillas ou non pero as máis típicas do campo non as levaban.,O calzado componse por uns zocos negros de pel de cordóns.,gl_cc-100
13,camisa branco,camisa branca,A máscara faise a partir da madeira do abedul e a parte superior remata nunha folla de lata engalanada con motivos animais ou vexetais.,"A vestimenta componse de camisa branca con garabata, chaqueta con galóns e xarreteiras, calzón corto e medias.",Á cintura levan cinto con chocas por detrás e na man unha “zamarra” coa que fustrigan a quen non manteña a orde no entroido.,gl_cc-100
14,camisa branco,camisa branca,As terrazas da Praza Maior de Ourense mudan dos cafés da mañá aos tintos do mediodía.,"Xosé Ramón Gómez Besteiro (Lugo, 1967) percorre en diagonal o escenario da cita vestido de mitin de fin de semana (camisa branca, americana azul e vaqueiros).","Estamos diante dun home robusto con voz de locutor radiofónico, actualmente presidente da Deputación de Lugo e candidato ás primarias do Partido dos Socialistas de Galicia PSdeG-PSOE.",gl_cc-100
15,camisa branco,camisa branca,A gran diferencia está á hora de ir ó traballo.,"As mulleres levaban unha saia negra de tea con moita caída ou unha saia de paño de cor vermella, cun mandil de cadros negros e brancos, unha camisa branca, unhas pañoletas negras ou de cores anoadas á cabeza e unhas zapatillas negras.",Esta indumentaria soía ir acompañada dunha patela de peixe.,gl_cc-100
16,camisa branco,camisa branca,"O home encargado do ramo ía vestido de branco, igual que o que levaba a bandeira nacional.","O traxe tíñao na casa: pantalón e camisa branca da marina, a faixa era como lle cadraba.","Ramón de Golpe e de aí xa non había tantos, despois dos rapaces novos Vicente da Pena era moi bo e Antonio do Vión… idem dos tres cuartos.",gl_cc-100
17,camisa branco,camisa branca,O traxe e moi colorido.,Leva unha camisa branca con garabata e unha chaqueta.,Na cadeira levan un cinto con chocas por detrás.,gl_cc-100
18,camisa branco,camisa branca,Non tardou en saír.,Mudárase de roupa e agora vestía un elegante traxe de chaqueta con camisa branca e garabata.,Todo un gentleman.,gl_cc-100
19,camisa branco,camisa branca,"Nunca esquecerei un señor moi maior, ben pasados os 75.","Baixiño, encurvado, moi miúdo, co pelo branco e coa cara moi engurrada, cun traxe gris de tela fina e camisa branca.",E cunha maleta.,gl_cc-100
1,capela ardente,capela ardente,Na xuntanza de hoxe tamén foi nomeada académica correspondente a lingüista Carme Pazos,"Membro correspondente da Real Academia Galega desde o ano 1972, dirixía o Museo do Pobo Galego, onde se instalará esta tarde a capela ardente",Ler máis sobre A RAG lamenta o pasamento de Carlos García Martínez »,gl_cc-100
2,capela ardente,capela ardente,"Sabino Torres Ferrer, editor, escritor e xornalista pontevedrés afincado desde hai anos en Madrid, faleceu á primeira hora da mañá deste luns nunha clínica hospitalaria da capital de España, segundo confirmaron fontes familiares.",O coñecido editor e escritor faleceu aos 91 anos - o próximo xuño cumpriría 92- e a súa capela ardente instalarase este luns no tanatorio M30 de Madrid.,"Sabino Torres Ferrer (Pontevedra, 1924 - Madrid, 2016) seguía moi vencellado á cidade do Lérez a pesar de que se instalou en Madrid e aquí protagonizou en xullo de 2014 un dos seus últimos actos públicos, a presentación dun libro de memorias, Crónicas dun tempo escondido: Pontevedra 1930-1960, no que recuperou con humor, intelixencia e unha prosa áxil e desinhibida, un tempo pouco coñecido da historia cultural e social contemporánea de Pontevedra.",gl_cc-100
3,capela ardente,capela ardente,"A Coruña despide a Domingos Merino, primeiro alcalde da democracia","O Palacio Municipal de María Pita acollerá o venres a capela ardente do exalcalde Domingos Merino, rexedor da primeira Corporación municipal da Coruña tras a ditadura, entre os anos 1979 e 1981, e que faleceu o pasado mércores aos 78 anos de idade.","Aínda que nun principio ía organizarse este xoves, será o venres cando se celebre o acto de despedida a partir das 11:00 horas.",gl_cc-100
4,capela ardente,capela ardente,"O 20 de outubro de 1920 entrou en coma, falecendo cinco días despois, tras 74 en folga de fame.","A capela ardente foi instalada na Catedral Southwark de Londres, ante a que desfilaron 30.000 persoas.","Ante o temor a grandes manifestacións en Dublín, as autoridades enviaron o ataúde directamente a Cork, onde tivo lugar un multitudinario funeral o 31 de outubro.",wiki
5,capela ardente,capela ardente,"Lenin morreu ás 18.50, hora de Moscova, o 21 de xaneiro de 1924 á idade de 53 anos,[108] na súa casa de Gorki (máis tarde chamada Gorki Leninskiye).","Nos catro días que permaneceu a capela ardente do líder bolxevique, sobre un millóns doentes visitaron o seu corpo no Salón das Columnas.","Entre os homes de Estado que expresaron as súas condolencias á Unión Soviética, o primeiro ministro chinés Sun Yat-sen dedicoulle as seguintes palabras:",gl_cc-100
6,capela ardente,capela ardente,"Fora ingresado soamente unhas horas antes no hospital tras ""unha recta final durísima"" subliñaba onte Alfonso Monxardín, amigo e compañeiro en múltiples travesías.","A capela ardente quedou instalada no Tanatorio das Burgas de Ourense onde permanecerá hoxe todo o día e alí será incinerado mañá, ás dez, nunha cerimonia que a familia quere manter na máis estrita intimidade.","Mañá tamén, o Liceo ourensán, espazo que acolleu numerosas das súas conferencias, servirá de marco a un acto laico no que se lerán poemas, pero ""Unha cousa moi discreta.",gl_cc-100
7,capela ardente,capela ardente,"Don Manuel estaba coas causas xustas, foi represaliado, no 1975 por clamar en favor da vida, nunha homilía na que condenou a irracionalidade dos fusilamentos ordenados polo derradeiro e adoecido franquismo contra mozos contrarios ó réxime, procesado polo TOP e multado.","Na súa axuda sae o pintor Luis Seoane que pra súa causa dona o lenzo do “Cristo Obreiro”, obra emblemática que presidiría misas e a mesma capela ardente do seu creador.","Non hai moito esta pintura foi vendida a Caixanova coa ansia de prestar axuda na súa misión educadora a un vello compañeiro e amigo en momentos de soedade e case de desterro, o Padre Silva de Bemposta.",gl_cc-100
8,capela ardente,capela ardente,Pasamento do Prof. Dr. José Luis Meilán Gil - Facultade de Dereito da Universidade da Coruña,A Reitoría da UDC acolle hoxe a capela ardente para a súa homenaxe póstuma.,"O velatorio terá lugar no Paraninfo da Reitoría a partir das 17:00 horas de hoxe, mércores 27 de xuño de 2018.",gl_cc-100
9,capela ardente,capela ardente,"O presidente da Xunta, Alberto Núñez Feijóo decretou tres días de loito oficial.","A capela ardente foi instalada, con carácter privado, no seu domicilio na capital de España, onde celebrou un oficio católico o cardeal de Madrid Antonio María Rouco Varela.","Os seus restos foron soterrados en Perbes, cun ritual católico concelebrado polo mesmo Rouco Varela, polo arcebispo de Santiago de Compostela, Julián Barrio, e por catorce sacerdotes máis.",wiki
10,capela ardente,capela ardente,"""Se cadra a néboa despistou ao piloto, que aínda que era experto aviador e ostentara o grado de capitán da Arma Aérea, seguro que lle fixo dar voltas sobre o val, na procura dalgunha orientación"".","Non tardaría en chegar a Galán o presidente do Deportivo, Jesús Cebrián, e varios directivos máis, quenes acordarían instalar a capela ardente do marqués de Villanueva no local social deportivista, en donde sería velado esa noite, toda vez que á muller se lle ocultara, nun principio, o acontecido.",O corpo de Antonio Ramos Vázquez levaríase ao domicilio familiar do Mesón do Bento.,gl_cc-100
11,capela ardente,capela ardente,"Non se eleva para afastarse da realidade senón para mellor vela, cun realismo crítico, que permite o zoom da ollada para profundar tanto no microcosmos como na grande panorámica"".","A capela ardente do académico está instalada no tanatorio Albia, na Grela (A Coruña), onde mañá, venres 18, ás 15.15 horas, se lle renderá unha homenaxe.","No acto cívico intervirán amigos e compañeiros, entre eles o presidente da RAG.",gl_cc-100
12,capela ardente,capela ardente,Máis sobre este tema,"A capela ardente e o serán tratados como actos familiares por desexo da familia, segundo informan fontes da Xunta, que estudan realizar algún tipo de homenaxe oficial máis adiante, ao igual que o PP",A morte de Xerardo Fernández Albor concitou os pésames de todo o arco parlamentario e a declaración por parte do Goberno galego de tres días de loito oficial por unha persoa que o presidente Feijóo cualificou de “home do Renacemento en pleno século XX”.,gl_cc-100
13,capela ardente,capela ardente,"Aos tres días, o 28 de agosto, falecía no Hospital Virgen del Rocío de Sevilla.","A súa capela ardente instalouse no estadio do club, o Sánchez Pizjuán.",Con carácter póstumo o Goberno de España concedeulle a Medalla ao Mérito Deportivo.,wiki
14,capela ardente,capela ardente,"Ás 11 e cuarto da mañá terá lugar o funeral para despedir o ex-presidente, tras o seu falecemento este xoves aos cen anos.","Imos en directo ata o cemiterio de Boisaca, onde está instalada dende onte á tarde a capela ardente.","Está previsto que acudan distintas autoridades galegas e, de feito, ningún dos membros do Goberno ten axenda pública para este venres.",gl_cc-100
15,capela ardente,capela ardente,"A escritora e membro da Real Academia Galega (RAG) Xohana Torres (Santiago de Compostela, 1931) faleceu o martes á 85 idade en Vigo.","A capela ardente permanecerá aberta no Tanatorio Vigo Memorial, onde será incinerada ás 21,30 horas.","Diso informou este mércores a RAG, que lamentou a morte desta autora, á que lembra como ""unha das voces máis destacadas das letras galegas contemporáneas que creceron na posguerra"".",gl_cc-100
16,capela ardente,capela ardente,"Curros Enríquez, xa moi enfermo, ingresou no hospital do Centro Asturiano ao negarse a facelo no do Centro Galego e alí morreu o 7 de marzo de 1908.","Os seus restos mortais foron embarcados para Galicia onde chegaron o 31 de marzo á cidade da Coruña, quedando instalada a capela ardente nos baixos do concello.","[4] Foi enterrado no Cemiterio de San Amaro, non sen polémica entre os que querían unha cerimonia relixiosa e outros que querían un enterro civil.",gl_cc-100
1,carreira pedestre,carreira pedestre,A San Martiño 2018 abre o prazo de inscrición,A carreira pedestre popular San Martiño 2018 bota a andar coa apertura do prazo de inscrición para aquelas persoas que desexen participar na próxima edición que terá lugar o día 18 de novembro.,Paso adiante do proxecto do novo parque de patinaxe de Ourense,gl_cc-100
2,carreira pedestre,carreira pedestre,Unha carreira de montaña ameaza á principal colonia peninsular dunha especie ameazada _ federación ecoloxista galega,"Dende o ano 2011 vense desenvolvendo no concello de Oleiros o denominado Costa Trail de Oleiros “Seixo Branco”, carreira pedestre de montaña organizada pola Sociedade de Montaña Ártabros coa colaboración nesta edición do concello de Oleiros e o Club de Atletismo Sada.","Gran parte da carreira desenvolverase polo entorno dos acantilados da Costa de Dexo, espazo declarado Monumento Natural e Rede Natura 2000 e que alberga entre os seus principais valores unha das principais colonias a nivel galego e estatal de corvo mariño cristado (en castelán: Cormorán moñudo).",gl_cc-100
3,carreira pedestre,carreira pedestre,"Este tipo de competición non ten porque gardar relación cun deporte específico, pode ser o simple reto de ir camiñar tres veces á semana para alguén que non fai actividade física algunha.","Outros exemplos serían facer dez flexións de brazos seguidas, correr a carreira pedestre de Santiago enteira sen parar, ou aprender a camiñar coas máns facendo o pino... É unha competición que depende da meta que queira un acadar.","Depende dun mesmo, do seu empeño e dedicación, sempre que os obxectivos propostos sexan realistas.",gl_cc-100
4,carreira pedestre,carreira pedestre,6 de outubro de 2018 :: Carballeira de Santa Minia :: Concello de Brión,"Correr polo Val da Maía é unha vella tradición, xa que a súa popular carreira pedestre cumpre hoxe a súa edición número trinta con preto de medio milleiro de participantes, o que a converte nunha das probas máis importantes da comarca.","Os corredores sairán do corazón do municipio, a carballeira de Santa Minia, con horarios repartidos en función da idade e da capacidade motora das persoas anotadas.",gl_cc-100
5,carreira pedestre,carreira pedestre,Na proba absoluta impuxéronse Lolo Penas e Edymar Brea cun tempo de 31:28 e 36:18 respectivamente.,"A carreira pedestre disputouse nun circuíto de 10 quilómetros homologado pola Real Federación Española de Atletismo, que discorreu pola contorna de Bertamiráns.",Esta proba está incluída no VI Circuíto de carreiras populares da Deputación da Coruña.,gl_cc-100
6,carreira pedestre,carreira pedestre,"Desde 2002, en contorna do Club Fluvial, é RESERVA DA BIOSFERA, e goza de especial protección debido á súa singularidade.","A beiras do Miño, e inmediacións dos ríos Intre e Mera, máis de 40 km de senllas fluviais, ideais para a práctica do sendeirismo, carreira pedestre, bicicleta, etc","Encravado no Camiño Primitivo de Santiago, e a 20 km do Camiño Francés en Portomarín.",gl_cc-100
7,carreira pedestre,carreira pedestre,"Oda 6: para Lacón de Ceos, vencedor na carreira pedestre de rapaces, Xogos olímpicos, 452;","Oda 7: para o mesmo, vencedor na carreira pedestre de rapaces, Xogos olímpicos, 452;","Nun dos seus ditirambos introduce por vez primeira na poesía grega un diálogo no que o director do coro se transforma en personaxe, o que se considera un antecedente remoto da primitiva traxedia ática.",gl_cc-100
8,carreira pedestre,carreira pedestre,"Mentres que a absoluta e a andaina, celebráronse pola tarde baixo un sol de xustiza.","A carreira pedestre Batalla de Cacheiras recuperou, como a pasada edición, a tradición de conmemorar os acontecementos sucedidos o 23 de abril de 1846.",A proba absoluta e andaina discorreron polos camiños por onde as tropas do xeneral de La Concha avanzaron para enfrontarse ao exército sublevado liderado polo xeneral Solís.,gl_cc-100
9,carreira pedestre,carreira pedestre,Creo que isto se valora positivamente.,"Ademais de todas as actividades deportivas que se fixeron, como a Regata de Kayak, que este ano celebrou a segunda edición; en decembro foi a terceira carreira pedestre… Houbo cousas que, nun escenario difícil, se mantiveron, como foron as axudas ao deporte.","Vaise celebrar tamén a feira do libro que por terceiro ano recunca aquí, moi apetecida por todos, porque este ano tamén vai a Ribeira, que levaba tempo detrás dela.",gl_cc-100
10,carreira pedestre,carreira pedestre,"Dodro, 13 de outubro de 2011.","Onte, mércores 12 de outubro, celebrouse no Concello de Dodro carreira pedestre de Lestrobe, que cheou á súa decimoterceira edición.","Nun día soleado e con temperaturas estivais, celebrouse esta cita que pouco a pouco se está convertendendo nunha referencia a nivel galego, dentro do circuito ""Correr en Galicia"", cunha distancia de 10.000 metros.",gl_cc-100
11,carreira pedestre,carreira pedestre,Unha semana antes da proba xa estaba completa a nómina de inscritos,"Aforo completo Esta décima edición da carreira pedestre de Nadal de San Cibrao contou cun total de 400 atletas na proba absoluta, cifra tope que puxo a organización e que unha semana antes da proba xa estaba completa a nómina de inscritos.",Desde fai tempo estase preparando a primeira edición da Media Maratón Viña Costeira.,gl_cc-100
12,carreira pedestre,carreira pedestre,"Díaz Grandío destacou a importancia que ten esta carreira coa que se pecha o calendario deportivo lucense e animou a todos os lucenses a participar nesta última competición deportiva do ano, da que dixo que xa conta cunha traxectoria importante e ten unha grande repercusión na cidade.","“Qué mellor maneira de acabar o ano podemos ter que participando nunha carreira pedestre popular como ésta”, sinalou o Concelleiro que agradeceu o esforzo que fai o Clube Fluvial na organización da San Silvestre de Lugo.",Alvaro Santos agradeceu a colaboración do Clube Media Maratón nesta carreira na que participaran orredor de 700 corredores.,gl_cc-100
13,carreira pedestre,carreira pedestre,Os catro mosqueteiros listos para correr.,Hoxe tocou a carreira pedestre popular de Negreira.,Esta proba é tradicional no circuito de carreiras populares en Galicia e na lista de gañadores das sucesivas edicións hai moitos atletas de prestixio.,gl_cc-100
14,carreira pedestre,carreira pedestre,"Unha das mellores maneiras de fomentar a costume saudable da actividade física, é a creación das carreiras populares a pé, por suposto sen isto impedir que o Concello procure a promoción doutras modalidades lúdico-deportivas que acaden este obxectivo.","Afortunadamente na nosa cidade temos a posibilidade de disfrutar, no mes de outubro, da carreira pedestre organizada polo Grupo Correo Gallego, multitudinaria mostra de que, non só as veciñas e veciños de Santiago, apoian coa súa presenza que se leven a cabo este tipo de actividades.","O ano pasado, nos meses de xuño, xullo, setembro e outubro, leváronse a cabo catro carreiras no denominado “CorreSAN”, que agardamos teña continuidade neste ano, ademais de apoiar a celebracións dos distintos campionatos de atletismo, ou calquera outro deporte, que se podan levar a cabo na nosa cidade, ou carreiras solidarias que soliciten o apoio a este Concello.",gl_cc-100
15,carreira pedestre,carreira pedestre,Tódalas novas do Concello de Teo,Abre a inscrición para a carreira pedestre Batalla de Cacheiras 2017,"A carreira será o 22 de abril e as persoas interesadas xa se poden anotar, ata o 19 de abril, nas diferentes categorías desde a páxina web www.emespors.es",gl_cc-100
16,carreira pedestre,carreira pedestre,150 atletas percorreron as rúas de Vimianzo na primeira edición da carreira pedestre,Exitosa participación na I Carreira pedestre concello de Vimianzo que contou coa participación de 150 atletas que desde a primeira hora da mañá do domingo se deixaban ver polas rúas de Vimianzo.,Os nenos e nenas de Vimianzo non descansan e inician unha semana de actividades deportivas e culturais no campamento Vimiverán.,gl_cc-100
1,casco antigo,casco antigo,"Dentro da filosofía da Asociación de Veciños de Carreira de dar a coñecer o patrimonio natural e cultural de Galicia, un grupo de máis de 50 personas adicouse a visitar as terras do norte da provincia de A Coruña estes pasados días.","Visitaron lugares como o casco antigo de Pontedeume, onde coincidiron coa multitudinaria procesión do Domingo de Ramos, que alí chaman “a procesión da Borriquiña”.","As fermosas paisaxes de Cedeira foron o seguinte punto de interese da excursión, que tivo o punto álxido nun dos lugares máis lendarios de Galicia: San Andrés de Teixido.",gl_cc-100
2,casco antigo,casco antigo,"O alcalde da Guarda, José Manuel Domínguez Freitas, aproveitou a ocasión para agradecer a todos os participantes a súa colaboración e crear “pequenas obras de arte, que son un auténtico reclamo para que a xente visite A Guarda”.","A finalidade da ruta é darlle maior peso á elaboración das alfombras florais, que se realizan dende hai máis de 25 anos en diversas rúas e prazas do casco antigo da vila.","Deste xeito, permítese dar a coñecer este gran traballo, vinculando este labor á gastronomía.",gl_cc-100
3,casco antigo,casco antigo,Na primeira xornada dirixímonos a Vitoria.,"A cidade ten un casco antigo moi doado de percorrer, cunha estructura en forma de noce coa que é fácil orientarse.","Escoitando as explicacións sobre a cidade dos amigos que nos fixeron de guías y despois de visitar as dúas catedrais chegou a hora da comida: El gautxo (Cuchillería Kalea, 3).",gl_cc-100
4,casco antigo,casco antigo,Destacan dúas zonas comerciais no conxunto da cidade: o centro histórico e o ensanche.,O primeiro cos seus 70.000m2 constitúe a maior superficie comercial galega situada nun casco antigo.,Zona especializada no comercio minorista tradicional aos que se suman novos locais con novas tendencias.,gl_cc-100
5,casco antigo,casco antigo,"Cerler (""Sarllé"" en aragonés) é un núcleo de poboación do concello de Benasque, considerada a aldea máis alto do Pireneo aragonés, enclavada a 1.540 metros de altitude.","Consta dun pequeno casco antigo perfectamente conservado, e dun ensanche con numerosos bloques de apartamentos e hoteis.","O turismo de inverno, xa que está preto da estación de esquí alpino de Aramón Cerler, o turismo rural e a restauración son as bases económicas da aldea.",wiki
6,casco antigo,casco antigo,"Vaia un exemplo de mestizaxe glocal: en Viveiro debuxaron o seu vate romántico, Nicomedes Pastor Díaz (o da estatua da praza), como un hardcoreta.","Os traballadores do casco antigo levaban camisetas que retrataban o poeta, embaixador e parlamentario vivariense do XIX coa cara tatuada.","Convertérono en membro dunha mara, coas marcas do narco e o amor de nai no rostro.",gl_cc-100
7,casco antigo,casco antigo,Que hai máis famoso en Ourense que As Burgas?,"Trátase duns mananciais con arredor de dous mil anos de historia que se sitúan no seu casco antigo e que, segundo algúns investigadores, deron nome á que hoxe é a cidade.","E é que foi aquí onde naceu un dos asentamentos romanos máis importantes de Galicia, “Aquis Aurienses” (“augas de ouro”).",gl_cc-100
8,casco antigo,casco antigo,"O xoves, ás 12.30 horas, na Casa dos Alonsos, terá lugar a presentación da Ruta Tapearte 2017 coa participación de 23 establecementos que ofrecerán a degustación de tapas a un prezo unitario de 2 euros.",A finalidade esta iniciativa é promocionar a gastronomía da Guarda e a elaboración das alfombras florais que se realizan dende hai máis de 25 anos no casco antigo da vila.,O departamento de Mobilidade da Deputación traballa na redacción dun proxecto para un acceso alternativo ao porto da Guarda,gl_cc-100
9,casco antigo,casco antigo,Dende o Concello de Melide apóstase un ano máis por difundir un produto artesanal e netamente localista alén das fronteiras da comunidade autónoma galega fichando a coñecidos rostros televisivos no mundo da gastronomía para promocionar un produto que conta actualmente cunha gran aceptación no mundo da repostaría.,"Así as cousas, a Alcaldesa, Dalia García, convida a participar activamente nas actividades da festa que maridan á perfección na parte gastronómica e de desfrute como a de ocio nas rúas do casco antigo melidense da man de artistas galegos e españois.",A festa máis doce de Galicia,gl_cc-100
10,casco antigo,casco antigo,"Casas de pedra con varandas de madeira e tellados de lousa forman parte da fisonomía do concello, descubrindo nas súas parroquias elementos da arquitectura relixiosa en pequenas igrexas e capelas, así como mostras significativas da arquitectura popular en cruceiros, petos de ánimas, muiños, fontes ou albarizas.","Desde o punto de vista arquitectónico debemos destacar as igrexas de Servoi, Gondulfes e Nocedo e a Capela de Vilar, sen esquecer o casco antigo de Nocedo cunha interesante fonte e varios cruceiros, dos cales o máis destacable é o de Pepín.",Pequena igrexa dunha soa nave construida no S. XVII.,gl_cc-100
11,casco antigo,casco antigo,"A ría é tamén moi apropiada para o submarinismo, xa que ademais dunha singular fauna e flora mariñas, na Ría de Viveiro hai máis de 30 naves afundidas, algunhas son os restos dunha terrible batalla naval durante a Guerra da Independencia.","De orixe medieval, a cidade de Viveiro conserva un elegante casco antigo, dos máis importantes de Galicia, destacando a Porta de Carlos V, monumento nacional, e coñecida como ""A Maior"".","Moi preto, o porto de Celeiro, especializado en pesca fresca, cunha lonxa e unha poxa que son todo un espectáculo en vivo.",gl_cc-100
12,casco antigo,casco antigo,"Avilés é hoxe a terceira cidade da comunidade en poboación, con categoría de vila de realego desde 1085, privilexio outorgado por Afonso VI.","A pesar do desmesurado crecemento urbanístico experimentado desde os anos 50 do século XX coa creación de Ensidesa e outras industrias, Avilés conserva un interesante e rico casco antigo.",Longa etapa -38 km- e caracterizada polas continuas subidas e baixadas (cualificada por este motivo como rompepernas).,gl_cc-100
13,casco antigo,casco antigo,"A edificación, inicialmente de baixa altura, experimentou unha progresiva verticalización e unha deterioración morfológico e social nalgunhas zonas, que deu lugar a procesos de renovación e substitución por casas de maior altura e calidade.","O casco antigo conserva importantes monumentos, como a catedral e palacios e igrexas de diversasépocas.",O ensanche: Desde mediados do século XIX o crecemento da cidade obrigou a ampliar o recinto urbano.,gl_cc-100
14,casco antigo,casco antigo,"Os primeiros intentos de planificación urbana corresponden a segunda metade do século XIX, cando o crecemento urbano rebordou as murallas da cidade preindustrial.","Sen embargo, as principais actuacións efectuaronse tan só nos espacios ocupados pola burguesía ( certas zonas do casco antigo e nos ensanches ).",As máis destacadas foron as seguintes:,gl_cc-100
15,casco antigo,casco antigo,Para asistir as visitas non é preciso inscrición previa tan presentarse á hora de comezo no punto de encontro.,Como novidade esta Semana Santa ofrécense visitas guiadas polo casco antigo e Castelo de Santa Cruz que permitirán coñecer a historia da Guarda a través do patrimonio percorrendo as rúas e prazas do casco histórico incluíndo o Castelo de Santa Cruz.,As visitas comezarán ás 12.00h e realizaranse do sábado 8 ao sábado 15 de abril cunha duración de 90 minutos.,gl_cc-100
16,casco antigo,casco antigo,"Pero isto non remata aquí, o acceso a moitos edificios ou locais da cidade tampouco está ben planeado.","Desde o edificio do Concello ata vivendas, tanto do casco antigo como da zona nova, non contan con accesos apropiados.",É preocupantemente común atoparse con escaleiras sen rampla ao seu lado (ou unha demasiado inclinada) antes dun elevador.,gl_cc-100
17,casco antigo,casco antigo,Esta primeira xornada de presentacións rematará cunha visita guiada pola zona monumental da cidade.,"Neste percorrido, ademais de coñecer o casco antigo, “os participantes descubrirán a Catedral de Ourense da man do cóengo arquiveiro, Miguel Ángel González”, engadiu Falqué.",O mércores 3 as xornadas desenvolveranse na Facultade de Ciencias coa celebración do acto de apertura a partir das 10 horas.,gl_cc-100
18,casco antigo,casco antigo,"Porque Tui alberga un rico patrimonio histórico que pola pasividade, esquecemento ou nalgúns casos imposibilidade dos seus habitantes e dirixentes está sendo devorado polo tempo que sen piedade demoleu o Teatro Principal, edificio no que por vez primeira a lingua galega resoou nun acto público, e tantas outras casas que aínda que anónimas, os seus muros agochan os segredos de centenares de vidas.",Mais Tui non remata na pedra gris do seu casco antigo.,"Ten o río e tamén ten a montaña, o monte Aloia, que foi o primeiro parque natural de Galicia.",gl_cc-100
19,casco antigo,casco antigo,"Xa estivera no Curruncho fai un ano, na miña anterior visita a Lugo, pero non lembraba nin onde se atopaba, a verdade.","As rúas do casco antigo son para mín (a orientación non é unha das miñas virtudes) case un laberinto, e vou vagando dun sitio a otro ate que atopo unha referencia ben coñecida.","Pero atopar o Curruncho foi por casualidade: vin un cartel de non fumadores, metinme para adentro, e foi unha grande ledicia atopar este bar que tanto me gustara.",gl_cc-100
1,centro educativo,centros educativos,Vilagarcía de Arousa,A Xunta ratifica o seu compromiso cos centros educativos galegos durante unha visita ao IES A Cañiza," O vicepresidente acudiu a este centro de ensino medio, xunto co delegado territorial da Xunta en Pontevedra",gl_cc-100
2,centro educativo,centros educativos,"Quere dicir isto que as persoas con autismo son capaces de imitar pero por medio de instrucións”, resalta Luis Jiménez.","Para comprobar a teoría dos espellos rotos en persoas autistas o equipo da Universidade de Santiago vai desenvolver un estudo en colaboración con centros educativos, asociacións de afectados e grupos que traballan con nenos que mostran este tipo de trastorno de Galicia e Aragón.","Deseñarán e probarán tarefas de imitación tanto en nenos con autismo de alto funcionamento (Síndrome de Asperger), que posúen un nivel intelectual dentro da normalidade, como con rapaces con desenvolvemento típico.",gl_cc-100
